auth_id,ACS - Student Loans,Amazon Order - Athletic Equipment,Amazon Order - Baby Crib,Amazon Order - Biology Book,Amazon Order - Mathematics Book,Amazon Order - Paint Bushes,Amazon Order - Paint Canvas,Amazon Order - Science Book,Amazon Order - Star Wars Figurine,Art Auction,Art Museum,Art's Art Supplies,Ashley's Craft Store,Athletic Apparel,"Babies ""R"" Us",Bank Fee - Negative Balance,Best Western Hotel,Bike Rental,Bowling,BuyBuyBaby.com,Cancun Beach Resort,Coffee,Comfort Inn,Concert Ticket,Credit Card Overdraft Fee,Credit Card Payment,DVD - Star Trek,Dick's Sporting Goods,Divorce Lawyer Fees,FedEx Shipping,Fisker Night Club,Food Delivery - GrubHub,Food Delivery - Uber Eats,GNC,Gas & Electric,Goods2 - ThinkGeek,Green Flash Brewery,Guitar Center,Hamilton Move & Storage,Home Depot,Hospital - Prenatal Care,Housing Rent,Housing Rent - Late Fee,Ice Skating Rink,Jerome's Furniture,John's Bar & Restaurant,Karaoke Bar,Kay Jewelry,Library Membership,Lyft,Mark's Movers,Mary's Book Store,Michael's Crafts,Movie Ticket,Music Lessons - Piano,NBA Ticket - Lakers,NFL Ticket - Chargers,Navient - Student Loans,Netflix Subscription,On Demand Movie,On Demand TV,Online Education Courses,Owl Night Club,Painting Course Fees,Paycheck,Pet Smart,Pet Supply - Cat Food,PlayStation Membership,Podcast Subscription,Public Transportation - Bus Pass,Public Transportation - Train Pass,Ralph's Grocery Store,Red Box DVD Rental,Refrigerator Depot,Restaurant - Burgers,Restaurant - Chinese,Restaurant - Pizza,Restaurant - Steakhouse,Rodriguez's Bar and Grill,Sam's Sporting Apparel,San Diego Museum,Science Museum,Seaside Bar,Southwest Flights - Cancun,Sprouts Market,Starbucks Coffee,Taxi,Time Warne Cable - Late Payment Fee,Time Warner Cable,Total Gym Fees,Uber,Video Game - PlayStation,Vitamin Shoppe,Von's Groceries,Water & Sewer,Water & Sewer - Late Payment Penalty,Wedding Planner,Whole Foods,Wine Bar,Wine Delivery
624,-2700.0,0.0,-19.64,0.0,0.0,-4166.339999999997,-4988.899999999999,0.0,0.0,-4460.660000000001,0.0,-4818.679999999999,-3980.8899999999994,0.0,-18.54,0.0,0.0,0.0,0.0,-69.09,-22.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.54,0.0,-1750.65,0.0,0.0,-640.0,0.0,0.0,-4414.659999999999,-1.48,-25.14,-14.65,-20511.0,0.0,0.0,-7.18,0.0,0.0,-69.87,0.0,-2089.2100000000005,-20.51,0.0,-3879.12,0.0,-4075.249999999998,0.0,0.0,-3940.0,-99.79999999999998,0.0,0.0,0.0,0.0,-4359.739999999998,50500.0,0.0,0.0,0.0,0.0,-2861.0099999999993,-3382.850000000002,-1278.8000000000004,0.0,-33.21,-1084.6800000000003,-1051.3499999999997,-1511.5500000000002,-1059.27,0.0,0.0,0.0,0.0,0.0,-112.14,-1353.59,-1240.4900000000005,-2397.530000000001,0.0,-500.0,0.0,-3019.4799999999996,0.0,0.0,-1345.1999999999998,-1060.0,0.0,-19.85,-1413.95,0.0,0.0
63891,-2700.0,0.0,-34.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.54,0.0,-33.84,0.0,-3467.6900000000005,-29.6,-6.61,0.0,-8.25,-2681.3000000000006,0.0,-3080.0,0.0,0.0,-17.23,-19.92,-2772.1999999999994,-1187.3200000000004,0.0,0.0,-640.0,0.0,-3739.140000000002,0.0,-37.4,-41.56,-16.89,-20526.0,0.0,-2426.2600000000007,-12.21,-3252.0199999999995,-2499.3199999999997,-2.63,0.0,-2382.08,-24.32,0.0,0.0,-4069.990000000001,0.0,0.0,0.0,-3940.0,-99.79999999999998,0.0,0.0,0.0,-3605.6,0.0,5842.0,0.0,0.0,0.0,0.0,-2556.9299999999994,-3356.55,-1297.25,0.0,-116.25,-1523.39,-1944.1499999999996,-1045.0099999999998,-1337.55,-3484.1600000000003,0.0,0.0,0.0,-3646.230000000002,-23.98,-1683.3299999999997,-1392.9200000000003,-2377.71,0.0,-500.0,0.0,-2654.1800000000003,0.0,0.0,-1394.9300000000007,-1060.0,0.0,-20.87,-1133.3,-3292.68,0.0
89593,-2700.0,0.0,-72.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.56,0.0,-1.22,0.0,-3005.86,-34.62,-28.23,0.0,-29.14,-3154.110000000001,0.0,-3080.0,0.0,0.0,-2.43,-100.91,-3368.759999999999,-1470.8200000000006,0.0,0.0,-640.0,0.0,-3810.5499999999984,0.0,-58.33,-112.03,-37.48,-19920.0,0.0,-2760.8,-100.6,-3616.630000000001,-2946.32,-28.65,0.0,-2281.5100000000007,-25.44,0.0,0.0,-3316.2499999999995,0.0,0.0,0.0,0.0,-99.79999999999998,0.0,0.0,0.0,-3553.0100000000016,0.0,52540.0,0.0,0.0,0.0,0.0,-2783.0299999999993,-2815.1299999999987,-1225.0200000000002,0.0,-9.67,-1710.6500000000003,-1536.8199999999995,-1271.5400000000004,-965.2600000000002,-2630.2199999999993,0.0,0.0,0.0,-2588.6200000000003,-16.9,-1345.2499999999995,-1099.96,-1737.6799999999996,0.0,-500.0,0.0,-2101.859999999999,0.0,0.0,-918.6600000000001,0.0,0.0,-22.13,-1316.9699999999996,-3148.539999999999,0.0
99842,-2700.0,0.0,-32.24,0.0,0.0,-4480.940000000001,-3417.420000000001,0.0,0.0,-4593.660000000002,0.0,-3821.8700000000013,-3713.419999999999,0.0,-18.65,0.0,0.0,0.0,0.0,-33.63,0.0,0.0,0.0,0.0,0.0,-3080.0,0.0,0.0,0.0,0.0,0.0,-880.1600000000002,0.0,0.0,-640.0,0.0,0.0,-3891.1800000000007,0.0,0.0,-19.78,-20764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2048.9599999999996,0.0,0.0,-3476.7,0.0,-3776.6799999999994,0.0,0.0,-3940.0,0.0,0.0,0.0,0.0,0.0,-4271.95,54701.0,0.0,0.0,0.0,0.0,-2231.1800000000003,-3124.969999999999,-1291.8899999999999,0.0,0.0,-877.7199999999999,-1275.64,-1091.61,-1230.2099999999998,0.0,0.0,0.0,0.0,0.0,0.0,-1062.6800000000007,-1214.3799999999999,-2066.72,0.0,-500.0,0.0,-2138.4700000000007,0.0,0.0,-1026.95,-1060.0,0.0,0.0,-1388.0000000000002,0.0,0.0
57556,0.0,0.0,-6.92,0.0,0.0,-3639.0399999999986,-3480.709999999998,0.0,0.0,-4633.379999999998,0.0,-3865.379999999999,-4380.280000000002,0.0,-9.71,0.0,0.0,0.0,0.0,-38.79,-11.3,0.0,0.0,0.0,0.0,-3080.0,0.0,0.0,0.0,-13.03,0.0,-1521.7299999999993,0.0,0.0,-640.0,0.0,0.0,-4097.670000000001,-74.88,-36.13,-57.89,-22780.0,0.0,0.0,-25.47,0.0,0.0,-4.88,0.0,-2201.51,-10.78,0.0,-4758.380000000001,0.0,-4021.839999999998,0.0,0.0,-3940.0,-99.79999999999998,0.0,0.0,0.0,0.0,-3785.650000000001,8381.0,0.0,0.0,0.0,0.0,-2083.19,-3014.829999999999,-1429.72,0.0,-8.6,-1763.1699999999996,-1578.77,-951.2199999999999,-977.9000000000001,0.0,0.0,0.0,0.0,0.0,-8.53,-1578.0199999999998,-1474.85,-2197.57,0.0,0.0,0.0,-2189.5599999999995,0.0,0.0,-1368.72,0.0,0.0,-16.76,-1054.67,0.0,0.0
20128,0.0,0.0,-25.08,-2319.0699999999993,-2736.76,0.0,0.0,-2328.030000000001,-3249.190000000001,0.0,-2120.91,0.0,0.0,0.0,-12.97,0.0,0.0,0.0,0.0,-36.22,-27.35,-3250.2299999999996,0.0,0.0,0.0,0.0,-2416.949999999999,0.0,0.0,-5.95,0.0,-1143.61,0.0,0.0,0.0,-2551.3699999999994,0.0,0.0,-12.27,-18.82,-54.36,-21565.0,0.0,0.0,-30.12,0.0,0.0,-38.31,-2946.86,-2728.679999999999,-32.24,-2536.1599999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2653.880000000001,0.0,0.0,45780.0,0.0,0.0,0.0,0.0,-2604.3799999999997,-2451.639999999998,-1016.03,0.0,-14.38,-1396.1700000000005,-1175.8600000000004,-1137.4099999999996,-928.1099999999999,0.0,0.0,-2689.889999999998,-2891.3200000000006,0.0,-13.24,-874.9499999999999,-838.6,-2449.110000000001,0.0,0.0,0.0,-2078.1199999999994,-2944.9100000000017,0.0,-1109.6200000000001,-1060.0,0.0,-8.35,-1214.43,0.0,0.0
37948,-2700.0,-3705.3799999999983,-12.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3896.1699999999996,-5.8,0.0,-35.02,-3519.3299999999995,0.0,-71.35,-2.33,0.0,-36.95,0.0,0.0,-3080.0,0.0,-4195.509999999998,-72.62,-23.27,0.0,-1277.1000000000004,0.0,-4039.739999999999,0.0,0.0,0.0,0.0,-21.72,-25.91,-37.41,-20734.0,0.0,0.0,-34.02,0.0,0.0,-19.36,0.0,-2686.67,-19.63,0.0,0.0,0.0,0.0,-4552.939999999999,-3459.1799999999994,-3940.0,-99.79999999999998,0.0,0.0,0.0,0.0,0.0,71622.0,0.0,0.0,0.0,0.0,-2326.6499999999996,-2535.44,-1538.73,0.0,-15.81,-1416.3100000000004,-1234.8799999999994,-1012.1700000000001,-1272.22,0.0,-3652.97,0.0,0.0,0.0,-16.42,-900.8399999999999,-1385.4799999999998,-3463.4500000000003,0.0,-500.0,-3759.3600000000006,-2352.209999999999,0.0,-4130.349999999999,-1214.5399999999997,0.0,0.0,-63.95,-1461.9500000000003,0.0,0.0
19209,-2700.0,0.0,-15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.05,0.0,-37.12,0.0,-2607.669999999999,-10.12,-23.23,0.0,-35.22,-2781.6799999999985,0.0,-3080.0,0.0,0.0,-36.51,-36.47,-2793.4100000000017,-1595.6799999999998,0.0,0.0,-640.0,0.0,-3237.010000000001,0.0,-22.49,-33.21,-21.43,-21382.0,0.0,-3378.85,-32.0,-3532.9599999999996,-2696.6599999999994,-0.51,0.0,-2313.970000000001,-36.09,0.0,0.0,-3152.190000000001,0.0,0.0,0.0,-3940.0,-99.79999999999998,0.0,0.0,0.0,-3334.579999999999,0.0,56620.0,0.0,0.0,0.0,0.0,-2980.349999999999,-1807.8200000000002,-1677.73,0.0,-34.02,-1556.07,-1200.49,-1011.98,-1657.53,-2835.0700000000006,0.0,0.0,0.0,-3087.2300000000005,-111.01,-1549.1499999999996,-1006.6999999999999,-2111.01,0.0,-500.0,0.0,-3221.9299999999994,0.0,0.0,-1000.3800000000001,-1060.0,0.0,-14.45,-1035.7299999999998,-3333.8699999999994,0.0
83049,0.0,0.0,-82.81,-2824.4200000000005,-2763.14,0.0,0.0,-2819.39,-2572.5200000000004,0.0,-2840.410000000001,0.0,0.0,0.0,-0.63,0.0,0.0,0.0,0.0,-15.98,-23.53,-3259.9900000000007,0.0,0.0,0.0,-3080.0,-3516.8500000000017,0.0,0.0,-38.87,0.0,-1259.32,0.0,0.0,0.0,-3203.1800000000003,0.0,0.0,-23.25,-69.26,-107.2,-20408.0,0.0,0.0,-36.17,0.0,0.0,-11.26,-2424.8999999999996,-2452.849999999999,-16.76,-2490.060000000001,0.0,0.0,0.0,0.0,0.0,-3940.0,0.0,0.0,0.0,-2237.7099999999996,0.0,0.0,34233.0,0.0,0.0,0.0,0.0,-2891.82,-2075.4100000000003,-1367.0100000000004,0.0,-33.63,-1135.7800000000002,-1326.8399999999997,-1497.8700000000001,-1133.25,0.0,0.0,-1819.7299999999996,-2539.85,0.0,-8.34,-1327.1799999999998,-831.27,-2375.8299999999995,0.0,0.0,0.0,-3018.83,-3046.900000000001,0.0,-1139.6499999999999,0.0,0.0,-11.33,-793.0100000000001,0.0,0.0
93372,-2700.0,-3373.72,-28.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3665.0399999999995,-37.47,0.0,-32.09,-4362.570000000001,0.0,-36.16,-18.17,0.0,-14.01,0.0,0.0,0.0,0.0,-3676.0600000000013,-14.03,-9.75,0.0,-1145.9099999999999,0.0,-3942.8799999999997,-640.0,0.0,0.0,0.0,-51.23,-72.64,-35.91,-22370.0,0.0,0.0,-37.91,0.0,0.0,-12.3,0.0,-2658.8399999999997,-45.84,0.0,0.0,0.0,0.0,-4282.080000000002,-3197.4700000000003,-3940.0,-99.79999999999998,0.0,0.0,0.0,0.0,0.0,59214.0,0.0,0.0,0.0,0.0,-2830.34,-2587.04,-1063.3799999999999,0.0,-39.4,-1298.0,-1044.9199999999998,-1144.9200000000003,-1113.1399999999996,0.0,-3712.0999999999995,0.0,0.0,0.0,-26.43,-1455.1999999999998,-1285.5299999999997,-2525.1800000000017,0.0,-500.0,-4040.640000000001,-2320.730000000001,0.0,-3776.6699999999996,-1106.5899999999997,-1060.0,0.0,-24.05,-1605.84,0.0,0.0
7299,-2700.0,0.0,-13.62,-2625.82,-2780.360000000001,0.0,0.0,-2239.1600000000003,-3144.1600000000008,0.0,-2572.2099999999996,0.0,0.0,0.0,-21.91,0.0,0.0,0.0,0.0,-31.83,-13.07,-2784.479999999999,0.0,0.0,0.0,-3080.0,-2658.1699999999996,0.0,0.0,0.0,0.0,-1363.88,0.0,0.0,-640.0,-3030.8999999999983,0.0,0.0,0.0,0.0,-20.19,-20747.0,0.0,0.0,0.0,0.0,0.0,-4.43,-2709.3700000000003,-2697.82,0.0,-3353.47,0.0,0.0,0.0,0.0,0.0,-3940.0,0.0,0.0,0.0,-2348.559999999999,0.0,0.0,64925.0,0.0,0.0,0.0,0.0,-2076.19,-2329.2200000000007,-1397.6300000000006,0.0,0.0,-1892.5000000000007,-1082.5899999999997,-1154.24,-1044.2800000000004,0.0,0.0,-3600.769999999999,-2820.8500000000017,0.0,-16.63,-1241.6600000000003,-1544.3999999999999,-1896.1299999999999,0.0,-500.0,0.0,-2202.6700000000005,-3039.1699999999987,0.0,-1329.18,-1060.0,0.0,-24.42,-1492.03,0.0,0.0
56930,0.0,0.0,-57.89,0.0,0.0,-3995.4699999999984,-5119.200000000002,0.0,0.0,-4332.619999999999,0.0,-3720.8499999999995,-4392.96,0.0,-89.02,0.0,0.0,0.0,0.0,-3.2,-39.31,0.0,0.0,0.0,0.0,-3080.0,0.0,0.0,0.0,-6.41,0.0,-1275.7099999999998,0.0,0.0,0.0,0.0,0.0,-3738.1199999999994,-24.1,-17.73,-13.87,-22051.0,0.0,0.0,-29.28,0.0,0.0,-37.93,0.0,-3203.88,-15.5,0.0,-4146.6,0.0,-4429.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4319.619999999997,10917.0,0.0,0.0,0.0,0.0,-2129.1099999999997,-2149.9500000000007,-1034.8499999999997,0.0,-94.14,-1194.6800000000003,-1345.5600000000002,-1424.8200000000006,-1098.6200000000001,0.0,0.0,0.0,0.0,0.0,-79.23,-1082.88,-765.5900000000001,-2645.8,0.0,-500.0,0.0,-2145.1499999999996,0.0,0.0,-1219.29,-1060.0,0.0,-13.57,-1714.9,0.0,0.0
15248,-2700.0,0.0,-30.86,-2739.090000000001,-2538.5299999999997,0.0,0.0,-2871.09,-2838.419999999999,0.0,-2971.2299999999996,0.0,0.0,0.0,-8.07,-810.7700000000001,0.0,0.0,0.0,-17.45,-7.03,-2200.9800000000005,0.0,0.0,-1824.1399999999999,-3080.0,-2220.2000000000003,0.0,0.0,-25.91,0.0,-574.93,0.0,0.0,0.0,-2817.769999999999,0.0,0.0,-66.52,-8.25,-91.83,-21364.0,-444.9700000000001,0.0,-33.02,0.0,0.0,-35.79,-3455.8500000000017,-2806.8500000000004,-12.85,-3050.05,0.0,0.0,0.0,0.0,0.0,-3940.0,0.0,0.0,0.0,-2085.6000000000013,0.0,0.0,44924.0,0.0,0.0,0.0,0.0,-2596.2600000000007,-3401.130000000001,-1175.4299999999998,0.0,-66.32,-1284.69,-1998.8100000000002,-1095.1299999999999,-1251.2900000000002,0.0,0.0,-2122.0600000000004,-3511.6300000000006,0.0,-20.28,-1398.9599999999996,-1068.0,-2790.0200000000004,-803.6000000000001,-500.0,0.0,-2794.8500000000013,-2125.6999999999994,0.0,-1349.6299999999997,-1060.0,-974.32,-11.74,-1112.6499999999999,0.0,0.0
54144,-2700.0,0.0,-18.59,0.0,0.0,-4135.209999999997,-4217.95,0.0,0.0,-3937.7700000000013,0.0,-4508.919999999997,-4135.989999999999,0.0,-24.82,0.0,0.0,0.0,0.0,-2.45,-30.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.83,0.0,-1215.53,0.0,0.0,-640.0,0.0,0.0,-4603.240000000001,-80.38,-2.67,-87.47,-20187.0,0.0,0.0,-4.26,0.0,0.0,-14.62,0.0,-2219.33,-0.61,0.0,-3915.1599999999985,0.0,-3681.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4441.549999999999,44260.0,0.0,0.0,0.0,0.0,-2634.0300000000007,-2361.129999999999,-1036.78,0.0,-13.78,-1523.2699999999998,-1601.56,-1375.56,-1100.4399999999998,0.0,0.0,0.0,0.0,0.0,-31.52,-1313.13,-1515.9399999999998,-2516.9600000000005,0.0,0.0,0.0,-2977.0099999999998,0.0,0.0,-1376.59,-1060.0,0.0,-15.75,-1445.6,0.0,0.0
35187,-2700.0,-2692.3799999999997,-107.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4676.159999999995,-19.03,0.0,-61.07,-4295.779999999999,0.0,-34.87,-2.47,0.0,-15.26,0.0,0.0,-3080.0,0.0,-3729.3999999999996,-9.0,-31.75,0.0,-1604.5500000000002,0.0,-3750.089999999999,-640.0,0.0,0.0,0.0,-29.15,-20.81,-27.58,-19621.0,0.0,0.0,-9.14,0.0,0.0,-50.92,0.0,-2883.890000000001,-25.41,0.0,0.0,0.0,0.0,-3255.9500000000003,-4109.979999999999,-3940.0,0.0,0.0,0.0,0.0,0.0,0.0,77741.0,0.0,0.0,0.0,0.0,-2532.52,-2058.0,-1075.3400000000001,0.0,-24.3,-1313.2600000000002,-1420.4,-1097.4699999999998,-1040.7199999999998,0.0,-3936.219999999999,0.0,0.0,0.0,-17.66,-1039.4699999999998,-895.7100000000002,-2406.7799999999997,0.0,0.0,-3740.290000000001,-2475.5499999999997,0.0,-3814.1899999999987,-1254.8299999999997,-1060.0,0.0,-0.77,-1128.17,0.0,0.0
15241,0.0,0.0,-32.73,0.0,0.0,-4349.08,-4249.639999999999,0.0,0.0,-3374.189999999999,0.0,-4505.880000000001,-4803.669999999999,0.0,-111.8,0.0,0.0,0.0,0.0,-27.6,-26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.14,0.0,-1621.49,0.0,0.0,0.0,0.0,0.0,-4359.130000000001,-17.73,-2.96,-12.77,-20506.0,0.0,0.0,-0.77,0.0,0.0,-23.24,0.0,-2276.2199999999993,-34.75,0.0,-4119.789999999999,0.0,-4307.180000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5278.120000000002,33003.0,0.0,0.0,0.0,0.0,-2101.8800000000006,-2578.21,-1129.7399999999998,0.0,-26.02,-1279.5400000000002,-640.27,-921.3700000000002,-759.64,0.0,0.0,0.0,0.0,0.0,-32.94,-940.8000000000002,-1362.7800000000002,-2647.35,0.0,0.0,0.0,-3393.3500000000017,0.0,0.0,-1498.9499999999996,-1060.0,0.0,-26.09,-1043.2800000000002,0.0,0.0
53897,0.0,0.0,-27.34,0.0,0.0,-3647.119999999998,-3236.150000000001,0.0,0.0,-4174.830000000003,0.0,-3856.3899999999985,-3740.4299999999985,0.0,-33.52,0.0,0.0,0.0,0.0,-31.64,-25.42,0.0,0.0,0.0,0.0,-3080.0,0.0,0.0,0.0,-26.74,0.0,-1078.62,0.0,0.0,-640.0,0.0,0.0,-5195.679999999999,-5.35,-13.02,-29.34,-20147.0,0.0,0.0,-29.71,0.0,0.0,-3.09,0.0,-2826.5499999999997,-35.0,0.0,-3472.3399999999997,0.0,-3644.890000000001,0.0,0.0,-3940.0,0.0,0.0,0.0,0.0,0.0,-3571.1600000000003,55420.0,0.0,0.0,0.0,0.0,-2757.0899999999992,-2504.75,-1267.7400000000002,0.0,-24.56,-1330.1299999999999,-1498.6700000000003,-1690.8200000000004,-1597.2199999999998,0.0,0.0,0.0,0.0,0.0,-7.97,-956.7299999999999,-1344.86,-2674.21,0.0,-500.0,0.0,-2869.230000000001,0.0,0.0,-1316.3700000000001,-1060.0,0.0,-1.57,-1067.49,0.0,0.0
