auth_id,Credit Card Payment,Divorce Lawyer Fees,Paycheck,Geek,ArtMusic,Indoors,Fitness/Sports,Outdoors/Partying,Late Payment,utilites,child care,student loans,groceries,misc,divorcee,Hobies (Fitness/Sports),Hobbies (Reading/Muesums),Hobbies (Socialize/Partying),likes indoor,Parent,Student,Has Credit Card,unpunctual,income Strata,Free Utilites
624,0.0,0.0,50500.0,0.0,-39144.23999999998,-1750.65,0.0,0.0,0.0,-2200.0,-121.92,-6640.0,-5391.54,-1430.0100000000007,No,No,No,No,No,Yes,Yes,No,No,Medium,Yes
63891,-3080.0,-17.23,5842.0,0.0,0.0,-1187.3200000000004,0.0,-38936.59,0.0,-2200.0,-120.96,-6640.0,-5508.81,-1516.2200000000007,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Low,Yes
89593,-3080.0,-2.43,52540.0,0.0,0.0,-1470.8200000000006,0.0,-37899.67,0.0,-1140.0,-175.26999999999995,-2700.0,-4805.899999999999,-1250.54,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Medium,Yes
99842,-3080.0,0.0,54701.0,0.0,-35443.82,-880.1600000000003,0.0,0.0,0.0,-2200.0,-104.3,-6640.0,-4769.52,-1214.38,No,No,No,No,No,Yes,Yes,Yes,No,Medium,Yes
57556,-3080.0,0.0,8381.0,0.0,-36662.33,-1521.7299999999993,0.0,0.0,0.0,-640.0,-113.31,-3940.0,-5431.13,-1596.29,No,No,No,No,No,Yes,Yes,Yes,No,Low,Yes
20128,0.0,0.0,45780.0,-37635.53000000001,0.0,-1143.61,0.0,0.0,0.0,-1060.0,-128.63,0.0,-4215.030000000002,-885.26,No,No,Yes,No,No,Yes,No,No,No,Medium,Yes
37948,-3080.0,-72.62,71622.0,0.0,0.0,-1277.1000000000004,-38910.92999999999,0.0,0.0,-500.0,-127.40999999999998,-6640.0,-5116.06,-1568.5899999999995,Yes,Yes,No,No,No,Yes,Yes,Yes,No,High,Yes
19209,-3080.0,-36.51,56620.0,0.0,0.0,-1595.6799999999996,0.0,-36771.180000000015,0.0,-2200.0,-63.90000000000001,-6640.0,-5262.99,-1121.4599999999996,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Medium,Yes
83049,-3080.0,0.0,34233.0,-38359.05000000002,0.0,-1259.32,0.0,0.0,0.0,0.0,-206.62,-3940.0,-4626.85,-853.86,No,No,Yes,No,No,Yes,Yes,Yes,No,Medium,No
93372,0.0,-14.03,59214.0,0.0,0.0,-1145.91,-38029.23,0.0,0.0,-2200.0,-138.04999999999998,-6640.0,-5231.009999999998,-1421.6799999999996,Yes,Yes,No,No,No,Yes,Yes,No,No,High,Yes
7299,-3080.0,0.0,64925.0,-39707.45,0.0,-1363.88,0.0,0.0,0.0,-2200.0,-87.55,-6640.0,-5460.500000000001,-1573.2499999999998,No,No,Yes,No,No,Yes,Yes,Yes,No,High,Yes
56930,-3080.0,0.0,10917.0,0.0,-38194.69999999998,-1275.7099999999996,0.0,0.0,0.0,-1560.0,-163.98000000000005,0.0,-5051.92,-817.0900000000001,No,No,No,No,No,Yes,No,Yes,No,Low,Yes
15248,-3080.0,0.0,44924.0,-37548.2,0.0,-574.93,0.0,0.0,-4857.8,-1560.0,-148.20999999999995,-6640.0,-5036.669999999999,-1115.53,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Medium,Yes
54144,0.0,0.0,44260.0,0.0,-37577.66,-1215.53,0.0,0.0,0.0,-1700.0,-133.32999999999998,-2700.0,-5172.1,-1546.3099999999995,No,No,No,No,No,Yes,Yes,No,No,Medium,Yes
35187,-3080.0,-9.0,77741.0,0.0,0.0,-1604.5500000000004,-38000.43999999999,0.0,0.0,-1700.0,-189.18,-6640.0,-4497.81,-947.4000000000003,Yes,Yes,No,No,No,Yes,Yes,Yes,No,High,Yes
15241,0.0,0.0,33003.0,0.0,-39346.68,-1621.49,0.0,0.0,0.0,-1060.0,-184.9,0.0,-4612.77,-1412.11,No,No,No,No,No,Yes,No,No,No,Low,Yes
53897,-3080.0,0.0,55420.0,0.0,-34538.99,-1078.62,0.0,0.0,0.0,-2200.0,-121.84,-3940.0,-4608.33,-1349.52,No,No,No,No,No,Yes,Yes,Yes,No,Medium,Yes
98316,-3080.0,-19.97,25068.0,0.0,0.0,-1328.7099999999996,0.0,-34765.79,-3699.6,-1700.0,-42.32000000000001,-3940.0,-5182.81,-1244.25,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Low,Yes
51974,-3080.0,0.0,35140.0,0.0,0.0,-41062.4,0.0,0.0,0.0,0.0,-144.64999999999995,0.0,-5230.289999999999,-1425.74,No,No,No,No,Yes,Yes,No,Yes,No,Medium,No
52374,0.0,-29.79,63700.0,0.0,0.0,-1580.11,0.0,-33187.23,-4011.1,-1560.0,-192.15,0.0,-5516.16,-1122.5200000000002,Yes,No,No,Yes,No,Yes,No,No,Yes,High,Yes
57199,-3080.0,0.0,43256.0,-40604.73,0.0,-1319.33,0.0,0.0,0.0,-2200.0,-195.84,-2700.0,-5835.890000000001,-1491.0,No,No,Yes,No,No,Yes,Yes,Yes,No,Medium,Yes
37551,0.0,-21.82,14316.0,0.0,0.0,-1140.7500000000002,-36414.20000000001,0.0,0.0,0.0,0.0,-6640.0,-5198.759999999998,-1753.3799999999994,Yes,Yes,No,No,No,No,Yes,No,No,Low,No
50068,0.0,-16.54,56160.0,0.0,0.0,-1412.16,-39409.24,0.0,0.0,0.0,-84.31,0.0,-5102.51,-1205.56,Yes,Yes,No,No,No,Yes,No,No,No,Medium,No
44986,-3080.0,-81.38,74016.0,0.0,0.0,-1667.6700000000005,-34239.64,0.0,-3112.9,-1700.0,-108.37,-6640.0,-5338.709999999999,-1611.4499999999996,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,High,Yes
77168,-3080.0,0.0,63108.0,-37977.31,0.0,-1850.77,0.0,0.0,0.0,-2200.0,-113.67,-6640.0,-5034.95,-1330.6899999999996,No,No,Yes,No,No,Yes,Yes,Yes,No,High,Yes
42061,0.0,-48.06,74358.0,0.0,0.0,-1501.72,-38817.48,0.0,0.0,-1560.0,-101.13,-6640.0,-3925.3,-1502.2999999999995,Yes,Yes,No,No,No,Yes,Yes,No,No,High,Yes
16910,-3080.0,-8.09,84380.0,0.0,0.0,-1166.89,-37453.31000000001,0.0,0.0,0.0,-119.36,0.0,-3988.17,-1185.4599999999996,Yes,Yes,No,No,No,Yes,No,Yes,No,High,No
43634,-3080.0,-59.76,13125.0,0.0,0.0,-1776.9399999999994,0.0,-36133.51,0.0,-1700.0,-68.77,-2700.0,-4859.730000000001,-1696.16,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Low,Yes
94976,-3080.0,-84.31,28626.0,0.0,0.0,-1374.8300000000004,-37247.09,0.0,0.0,-2200.0,-74.01,-6640.0,-4677.549999999998,-1332.44,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Low,Yes
43305,-3080.0,-115.12,18852.0,0.0,0.0,-1489.2800000000002,-37152.44,0.0,0.0,-500.0,-214.71,-3940.0,-4789.56,-1321.2899999999995,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Low,Yes
3056,0.0,0.0,20070.0,-38057.48,0.0,-1017.12,0.0,0.0,0.0,-1060.0,-102.22,0.0,-5599.76,-732.66,No,No,Yes,No,No,Yes,No,No,No,Low,Yes
93777,0.0,0.0,58680.0,-40524.81000000001,0.0,-1360.69,0.0,0.0,0.0,0.0,-44.07,-6640.0,-4210.23,-1018.78,No,No,Yes,No,No,Yes,Yes,No,No,High,No
61519,0.0,-56.43,51606.0,0.0,0.0,-1361.98,-33954.36,0.0,-4061.219999999999,-1700.0,-133.66,0.0,-3930.5,-1409.07,Yes,Yes,No,No,No,Yes,No,No,Yes,Medium,Yes
7338,-3080.0,0.0,9594.0,0.0,0.0,-38437.26,0.0,0.0,0.0,-500.0,-38.78,0.0,-4361.97,-1374.37,No,No,No,No,Yes,Yes,No,Yes,No,Low,Yes
7305,0.0,-6.05,36872.0,0.0,0.0,-1344.59,0.0,-37799.1,0.0,-500.0,-144.77,-2700.0,-5060.81,-1080.4,Yes,No,No,Yes,No,Yes,Yes,No,No,Medium,Yes
32320,-3080.0,-9.78,70920.0,0.0,0.0,-1551.67,0.0,-38458.1,0.0,-1700.0,0.0,-6640.0,-4574.58,-1215.17,Yes,No,No,Yes,No,No,Yes,Yes,No,High,Yes
88199,0.0,0.0,53300.0,0.0,0.0,-37976.02,0.0,0.0,0.0,-1700.0,-125.79,-6640.0,-5612.629999999999,-1401.8000000000004,No,No,No,No,Yes,Yes,Yes,No,No,Medium,Yes
94501,-3080.0,-72.43,42920.0,0.0,0.0,-1469.25,0.0,-37141.94,0.0,-1140.0,-78.39,-6640.0,-4147.43,-1508.01,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Medium,Yes
75258,0.0,0.0,39931.0,0.0,-38880.47999999999,-1570.94,0.0,0.0,0.0,-500.0,-108.1,-2700.0,-5392.82,-1784.13,No,No,No,No,No,Yes,Yes,No,No,Medium,Yes
3028,-3080.0,-58.97,15939.0,0.0,0.0,-1311.42,-40159.820000000014,0.0,0.0,-1060.0,-136.17000000000002,-6640.0,-5124.3899999999985,-1210.63,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Low,Yes
52889,-3080.0,0.0,70700.0,-33292.52,0.0,-1444.6600000000005,0.0,0.0,-3232.08,-2200.0,-163.22,-6640.0,-6319.009999999998,-2172.13,No,No,Yes,No,No,Yes,Yes,Yes,Yes,High,Yes
85770,-3080.0,0.0,87220.0,0.0,-38096.389999999985,-1058.9200000000003,0.0,0.0,0.0,-2200.0,0.0,-6640.0,-5222.32,-1081.32,No,No,No,No,No,No,Yes,Yes,No,High,Yes
5349,0.0,0.0,48816.0,-37563.29,0.0,-1169.85,0.0,0.0,0.0,-2200.0,-183.12,-6640.0,-5591.75,-1109.0800000000004,No,No,Yes,No,No,Yes,Yes,No,No,Medium,Yes
4567,-3080.0,-38.5,91620.0,0.0,0.0,-1162.66,-41176.14,0.0,0.0,-2200.0,0.0,-6640.0,-4762.509999999998,-1683.8399999999995,Yes,Yes,No,No,No,No,Yes,Yes,No,High,Yes
55836,0.0,0.0,85747.0,0.0,-31488.66000000001,-1436.5600000000004,0.0,0.0,-3936.82,-1140.0,-35.09,0.0,-5172.419999999998,-1458.25,No,No,No,No,No,Yes,No,No,Yes,High,Yes
39379,-3080.0,0.0,63380.0,0.0,0.0,-39719.500000000015,0.0,0.0,0.0,-2200.0,-42.62000000000001,-6640.0,-5807.160000000002,-1602.4199999999994,No,No,No,No,Yes,Yes,Yes,Yes,No,High,Yes
31277,0.0,-14.2,49062.0,0.0,0.0,-1267.59,-37542.48,0.0,-4253.700000000002,-1560.0,-113.69,-6640.0,-4492.35,-1016.0200000000003,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Medium,Yes
44119,-3080.0,-20.37,62200.0,0.0,0.0,-1401.02,-38595.88,0.0,0.0,-2200.0,-84.57000000000002,-3940.0,-5203.8,-1325.5800000000004,Yes,Yes,No,No,No,Yes,Yes,Yes,No,High,Yes
67812,-3080.0,0.0,85600.0,-37412.35,0.0,-1339.2099999999996,0.0,0.0,0.0,-1560.0,-77.7,-6640.0,-4778.13,-862.45,No,No,Yes,No,No,Yes,Yes,Yes,No,High,Yes
18908,-3080.0,0.0,38224.0,0.0,0.0,-33374.73,0.0,0.0,-3591.27,-1700.0,0.0,-6640.0,-4643.8,-1727.609999999999,No,No,No,No,Yes,No,Yes,Yes,Yes,Medium,Yes
72019,-3080.0,0.0,11660.0,0.0,0.0,-36111.17,0.0,0.0,-3232.32,0.0,-163.95999999999995,0.0,-4408.0999999999985,-1139.6899999999996,No,No,No,No,Yes,Yes,No,Yes,Yes,Low,No
43085,-3080.0,0.0,29041.0,-38959.88000000001,0.0,-1446.19,0.0,0.0,0.0,-1140.0,-54.43,-3940.0,-5900.02,-1599.29,No,No,Yes,No,No,Yes,Yes,Yes,No,Low,Yes
22696,-3080.0,-100.15,14262.0,0.0,0.0,-1150.3199999999995,-39784.679999999986,0.0,0.0,0.0,0.0,0.0,-5057.2,-1431.4600000000007,Yes,Yes,No,No,No,No,No,Yes,No,Low,No
81829,0.0,0.0,47684.0,-37624.19,0.0,-879.6399999999999,0.0,0.0,-4182.62,-1700.0,-84.50000000000001,-3940.0,-5738.47,-1969.25,No,No,Yes,No,No,Yes,Yes,No,Yes,Medium,Yes
40087,-3080.0,-18.27,26508.0,0.0,0.0,-1786.6,0.0,-38432.67,0.0,-2200.0,-150.13,-6640.0,-5509.06,-1198.4100000000005,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Low,Yes
66483,-3080.0,0.0,46880.0,0.0,-35825.270000000004,-1354.7900000000004,0.0,0.0,0.0,-2200.0,0.0,-6640.0,-5455.16,-1514.7099999999996,No,No,No,No,No,No,Yes,Yes,No,Medium,Yes
99292,-3080.0,-29.35,50918.0,0.0,0.0,-1153.1299999999997,0.0,-34733.56,0.0,-1140.0,-188.01,-6640.0,-5058.37,-1159.5199999999998,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Medium,Yes
34096,-3080.0,-99.27,52200.0,0.0,0.0,-1324.87,-34638.23,0.0,-3650.61,-1140.0,-187.74,0.0,-4718.980000000001,-1944.4200000000005,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Medium,Yes
20458,-3080.0,0.0,0.0,0.0,0.0,-37836.859999999986,0.0,0.0,-3959.53,-1060.0,-166.63,-2700.0,-5177.6,-1517.4799999999993,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Low,Yes
8867,-3080.0,0.0,77440.0,0.0,0.0,-41795.68,0.0,0.0,0.0,-2200.0,-101.22,-6640.0,-5028.22,-1538.0700000000006,No,No,No,No,Yes,Yes,Yes,Yes,No,High,Yes
44675,0.0,0.0,30700.0,0.0,0.0,-40843.76,0.0,0.0,0.0,-1060.0,-137.14,0.0,-4646.57,-1206.6400000000006,No,No,No,No,Yes,Yes,No,No,No,Low,Yes
96265,-3080.0,-37.94,35223.0,0.0,0.0,-789.6599999999999,0.0,-37929.12,0.0,-2200.0,-76.25,-6640.0,-4629.29,-1521.73,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Medium,Yes
23752,0.0,-0.27,32081.0,0.0,0.0,-957.27,0.0,-34738.97,-3478.4400000000005,0.0,-163.54,-3940.0,-5322.01,-1571.9500000000005,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Low,No
35277,0.0,0.0,36900.0,0.0,-34409.12,-1798.85,0.0,0.0,-3118.43,-640.0,-153.25,0.0,-4838.51,-1166.5699999999995,No,No,No,No,No,Yes,No,No,Yes,Medium,Yes
68995,-3080.0,-12.56,47950.0,0.0,0.0,-904.48,-36895.92,0.0,0.0,-640.0,-91.73,-6640.0,-5991.150000000002,-1674.4899999999993,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Medium,Yes
12013,-3080.0,-0.04,2188.0,0.0,0.0,-1637.2,-39230.68,0.0,0.0,-2200.0,-94.53,-3940.0,-4694.42,-1694.34,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Low,Yes
34686,-3080.0,-8.87,79760.0,0.0,0.0,-1726.14,0.0,-39647.45,0.0,0.0,0.0,0.0,-3701.97,-1376.0600000000004,Yes,No,No,Yes,No,No,No,Yes,No,High,No
46816,-3080.0,-44.34,85220.0,0.0,0.0,-1417.5000000000002,0.0,-36965.78,0.0,-2200.0,0.0,-6640.0,-5590.17,-1183.7100000000005,Yes,No,No,Yes,No,No,Yes,Yes,No,High,Yes
78908,-3080.0,-16.48,82120.0,0.0,0.0,-1634.8000000000006,-32964.070000000014,0.0,-3483.1800000000007,-1060.0,-91.33,-3940.0,-4773.030000000002,-1496.79,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,High,Yes
13015,-3080.0,-21.94,54620.0,0.0,0.0,-1228.56,-38973.84,0.0,0.0,-640.0,0.0,-2700.0,-4666.57,-1156.13,Yes,Yes,No,No,No,No,Yes,Yes,No,Medium,Yes
73275,-3080.0,0.0,27030.0,0.0,0.0,-36270.680000000015,0.0,0.0,0.0,-1700.0,-186.02,-3940.0,-6192.260000000001,-1802.5100000000007,No,No,No,No,Yes,Yes,Yes,Yes,No,Low,Yes
9367,-3080.0,0.0,17563.0,0.0,0.0,-42123.23,0.0,0.0,0.0,-2200.0,0.0,-2700.0,-4919.28,-1391.5500000000006,No,No,No,No,Yes,No,Yes,Yes,No,Low,Yes
3015,0.0,0.0,21010.0,0.0,-35260.27000000001,-1804.18,0.0,0.0,-4476.1,0.0,0.0,-3940.0,-4335.0,-1573.3100000000004,No,No,No,No,No,No,Yes,No,Yes,Low,No
28816,-3080.0,0.0,35154.0,0.0,-38722.24,-1011.8699999999997,0.0,0.0,0.0,-1140.0,-22.69,-3940.0,-4680.32,-1808.38,No,No,No,No,No,Yes,Yes,Yes,No,Medium,Yes
94765,-3080.0,0.0,62440.0,-36802.430000000015,0.0,-1359.7000000000005,0.0,0.0,0.0,-2200.0,-122.28,-6640.0,-4864.46,-1563.49,No,No,Yes,No,No,Yes,Yes,Yes,No,High,Yes
10115,-3080.0,0.0,89920.0,0.0,-36099.10000000001,-1151.76,0.0,0.0,0.0,-2200.0,-224.24,-2700.0,-4083.71,-1344.6699999999996,No,No,No,No,No,Yes,Yes,Yes,No,High,Yes
1882,-3080.0,-4.92,38020.0,0.0,0.0,-1067.02,0.0,-37801.79,0.0,-2200.0,-113.37,-6640.0,-5267.33,-1958.2200000000007,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Medium,Yes
19370,-3080.0,0.0,42940.0,0.0,0.0,-41888.05,0.0,0.0,0.0,-1140.0,-89.75,0.0,-5365.419999999999,-1061.39,No,No,No,No,Yes,Yes,No,Yes,No,Medium,Yes
13799,0.0,0.0,14800.0,0.0,0.0,-40221.429999999986,0.0,0.0,0.0,-500.0,0.0,-3940.0,-5315.25,-1477.4399999999994,No,No,No,No,Yes,No,Yes,No,No,Low,Yes
72851,-3080.0,-24.08,21745.0,0.0,0.0,-1420.48,-37321.34,0.0,0.0,-1140.0,-46.16,-6640.0,-4838.380000000001,-1420.0700000000004,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Low,Yes
99128,-3080.0,0.0,55580.0,0.0,0.0,-37151.74,0.0,0.0,0.0,-500.0,-143.48999999999995,-6640.0,-5688.8,-1419.3399999999995,No,No,No,No,Yes,Yes,Yes,Yes,No,Medium,Yes
28143,-3080.0,-35.2,51840.0,0.0,0.0,-1583.1800000000005,-38110.99,0.0,0.0,0.0,-82.13,-6640.0,-4516.8,-1705.11,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Medium,No
16060,-3080.0,0.0,34230.0,0.0,-34898.66,-1571.8799999999994,0.0,0.0,-3107.830000000001,-1560.0,-145.67,-6640.0,-5067.240000000002,-1042.2699999999998,No,No,No,No,No,Yes,Yes,Yes,Yes,Low,Yes
52299,-3080.0,0.0,71280.0,-35927.430000000015,0.0,-1554.0400000000006,0.0,0.0,0.0,-2200.0,0.0,-2700.0,-4529.6100000000015,-1112.0099999999998,No,No,Yes,No,No,No,Yes,Yes,No,High,Yes
9340,-3080.0,0.0,59240.0,-39403.52,0.0,-1606.77,0.0,0.0,0.0,-1140.0,0.0,-6640.0,-4709.74,-1387.88,No,No,Yes,No,No,No,Yes,Yes,No,High,Yes
24694,-3080.0,0.0,43095.0,0.0,0.0,-39922.77,0.0,0.0,0.0,-2200.0,-58.81999999999999,-2700.0,-5846.8200000000015,-1381.59,No,No,No,No,Yes,Yes,Yes,Yes,No,Medium,Yes
3122,0.0,0.0,13880.0,0.0,-39438.84,-1405.9300000000005,0.0,0.0,0.0,-640.0,-140.8,0.0,-4481.34,-1591.7999999999995,No,No,No,No,No,Yes,No,No,No,Low,Yes
42018,-3080.0,0.0,39200.0,0.0,0.0,-39152.789999999986,0.0,0.0,0.0,-2200.0,-86.6,0.0,-5411.75,-1504.35,No,No,No,No,Yes,Yes,No,Yes,No,Medium,Yes
76016,0.0,0.0,75280.0,0.0,0.0,-40105.02,0.0,0.0,0.0,-500.0,0.0,0.0,-5683.1100000000015,-1989.44,No,No,No,No,Yes,No,No,No,No,High,Yes
50846,0.0,-21.13,56360.0,0.0,0.0,-1235.6499999999996,0.0,-39419.11,0.0,0.0,0.0,-3940.0,-5460.670000000001,-1513.8999999999994,Yes,No,No,Yes,No,No,Yes,No,No,Medium,No
28328,-3080.0,0.0,32013.0,0.0,-31625.85,-1230.0800000000004,0.0,0.0,-3320.69,-1560.0,-97.12,-6640.0,-5947.1100000000015,-1683.4299999999994,No,No,No,No,No,Yes,Yes,Yes,Yes,Low,Yes
6896,-3080.0,0.0,63811.0,-39727.419999999984,0.0,-1509.3200000000006,0.0,0.0,0.0,-640.0,-166.0,0.0,-4796.98,-1250.1,No,No,Yes,No,No,Yes,No,Yes,No,High,Yes
28337,-3080.0,-69.18,55608.0,0.0,0.0,-1253.5399999999995,0.0,-33631.14,-4371.000000000001,-1140.0,-128.42,0.0,-5300.44,-1297.8999999999996,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Medium,Yes
41101,-3080.0,0.0,76120.0,0.0,0.0,-36467.820000000014,0.0,0.0,-4014.45,-2200.0,-128.27,-6640.0,-4781.85,-1673.34,No,No,No,No,Yes,Yes,Yes,Yes,Yes,High,Yes
2805,-3080.0,0.0,41052.0,0.0,-39410.58,-1278.25,0.0,0.0,0.0,-1560.0,-120.63,-6640.0,-5050.230000000001,-1536.3599999999994,No,No,No,No,No,Yes,Yes,Yes,No,Medium,Yes
37458,0.0,0.0,82720.0,0.0,0.0,-38748.639999999985,0.0,0.0,0.0,-2200.0,-85.74,-3940.0,-5118.84,-2064.1900000000005,No,No,No,No,Yes,Yes,Yes,No,No,High,Yes
91528,-3080.0,0.0,3711.0,0.0,0.0,-38338.23,0.0,0.0,0.0,-1560.0,-87.87,-2700.0,-5461.620000000001,-1679.0799999999995,No,No,No,No,Yes,Yes,Yes,Yes,No,Low,Yes
42059,0.0,0.0,50609.0,0.0,-37738.320000000014,-2018.66,0.0,0.0,0.0,-1060.0,-73.33,0.0,-5115.120000000001,-1526.8000000000006,No,No,No,No,Yes,Yes,No,No,No,Medium,Yes
98104,0.0,-28.79,34938.0,0.0,0.0,-1397.28,-38480.15,0.0,0.0,-640.0,-152.45999999999995,-3940.0,-5264.840000000001,-1124.42,Yes,Yes,No,No,No,Yes,Yes,No,No,Medium,Yes
54454,0.0,0.0,26766.0,-36291.2,0.0,-1614.7600000000002,0.0,0.0,-3988.77,-1140.0,-55.26,-2700.0,-5278.58,-1483.14,No,No,Yes,No,No,Yes,Yes,No,Yes,Low,Yes
